Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Signaling Molecules and Interaction	-Cell Growth and Death	0.02897	8.283e-05	6.379e-05	5.489e-05	4.615e-05
Cellular Processes	-Cell Growth and Death	4.446	3.149	3.122	3.014	2.717
-Cell Structure	-Cell Growth and Death	0.4568	0.9037	0.9623	0.9205	0.6978
-Crystallins	-Cell Growth and Death	0	0	0	0	0
-Vesicular transport	-Cell Growth and Death	0.007399	0.004998	0.00523	0.004501	0.003784
-Cytoskeleton	-Cell Growth and Death	1.422	1.239	1.153	1.088	1.015
-Cell Motility	-Cell Growth and Death	1.559	0.001381	0.001063	0.0009148	0.0007691
-Cell Growth and Death	-Cell Growth and Death	1	1	1	1	1
-Cellular Community	-Cell Growth and Death	0	0	0	0	0
Metabolism	-Cell Growth and Death	186.5	165.9	162.2	156.2	137.1
-Membrane Transport	-Cell Growth and Death	38.45	31.27	29.59	25.63	19.31
-Central Carbon Metabolism	-Cell Growth and Death	69.38	56.53	52.32	46.92	38.94
-Energy Metabolism	-Cell Growth and Death	7.206	7.466	7.983	7.475	6.475
-Biosynthesis	-Cell Growth and Death	52.36	53.5	56.6	61.86	58.83
-Other Enzymes	-Cell Growth and Death	19.1	17.14	15.75	14.29	13.56
Organismal Systems	-Cell Growth and Death	0	0	0	0	0
-Immune System	-Cell Growth and Death	0	0	0	0	0
-Endocrine System	-Cell Growth and Death	0	0	0	0	0
-Circulatory System	-Cell Growth and Death	0	0	0	0	0
-Digestive System	-Cell Growth and Death	0	0	0	0	0
-Excretory System	-Cell Growth and Death	0	0	0	0	0
-Nervous System	-Cell Growth and Death	0	0	0	0	0
-Sensory System	-Cell Growth and Death	0	0	0	0	0
-Development	-Cell Growth and Death	0	0	0	0	0
-Environmental Adaptation	-Cell Growth and Death	0	0	0	0	0
Human Diseases	-Cell Growth and Death	7.362e-05	5.522e-05	4.252e-05	3.659e-05	3.077e-05
-Cancers	-Cell Growth and Death	0	0	0	0	0
-Immune Diseases	-Cell Growth and Death	0	0	0	0	0
-Neurodegenerative Diseases	-Cell Growth and Death	0	0	0	0	0
-Substance Dependence	-Cell Growth and Death	0	0	0	0	0
-Cardiovascular Diseases	-Cell Growth and Death	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cell Growth and Death	0	0	0	0	0
-Infectious Diseases	-Cell Growth and Death	0	0	0	0	0
-Drug resistance	-Cell Growth and Death	7.362e-05	5.522e-05	4.252e-05	3.659e-05	3.077e-05
Not Mapped	-Cell Growth and Death	32.55	23.94	22.17	20.06	18.36
-Not Mapped	-Cell Growth and Death	32.55	23.94	22.17	20.06	18.36
TOTAL	-Cellular Community	Inf	Inf	Inf	Inf	Inf
MAPPED	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Transcription	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Translation	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Environmental Information Processing	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Structure	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Vesicular transport	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cellular Community	-Cellular Community	NaN	NaN	NaN	NaN	NaN
Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Immune System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Circulatory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Digestive System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Excretory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Nervous System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Sensory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Development	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Cellular Community	NaN	NaN	NaN	NaN	NaN
Human Diseases	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cancers	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Immune Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Substance Dependence	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Cardiovascular Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Endocrine and Metabolic Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Infectious Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Drug resistance	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Cellular Community	Inf	Inf	Inf	Inf	Inf
TOTAL	Metabolism	1.993	2.011	2.11	2.186	2.355
MAPPED	Metabolism	1.818	1.866	1.973	2.057	2.221
Genetic Information Processing	Metabolism	0.7699	0.829	0.9379	1.024	1.188
-Transcription	Metabolism	0.09799	0.1028	0.1052	0.102	0.1098
-Translation	Metabolism	0.4711	0.5208	0.6227	0.7135	0.8549
-Folding, Sorting and Degradation	Metabolism	0.1509	0.1563	0.1628	0.1655	0.1794
-DNA Maintenance	Metabolism	0.04989	0.04909	0.04712	0.04336	0.04383
-RNA Family	Metabolism	1.974e-07	1.664e-07	1.311e-07	1.172e-07	1.122e-07
Environmental Information Processing	Metabolism	0.02472	0.01856	0.0158	0.01377	0.01293
-Signal Transduction	Metabolism	0.02456	0.01856	0.0158	0.01377	0.01293
-Signaling Molecules and Interaction	Metabolism	0.0001553	4.993e-07	3.932e-07	3.515e-07	3.366e-07
Cellular Processes	Metabolism	0.02384	0.01898	0.01924	0.0193	0.01982
-Cell Structure	Metabolism	0.002449	0.005447	0.005931	0.005894	0.00509
-Crystallins	Metabolism	0	0	0	0	0
-Vesicular transport	Metabolism	3.967e-05	3.012e-05	3.224e-05	2.882e-05	2.76e-05
-Cytoskeleton	Metabolism	0.007626	0.007466	0.007107	0.006969	0.0074
-Cell Motility	Metabolism	0.008361	8.321e-06	6.553e-06	5.858e-06	5.61e-06
-Cell Growth and Death	Metabolism	0.005362	0.006028	0.006164	0.006403	0.007293
-Cellular Community	Metabolism	0	0	0	0	0
Metabolism	Metabolism	1	1	1	1	1
-Membrane Transport	Metabolism	0.2062	0.1885	0.1824	0.1641	0.1408
-Central Carbon Metabolism	Metabolism	0.372	0.3408	0.3225	0.3004	0.284
-Energy Metabolism	Metabolism	0.03864	0.045	0.0492	0.04786	0.04723
-Biosynthesis	Metabolism	0.2808	0.3225	0.3488	0.3961	0.4291
-Other Enzymes	Metabolism	0.1024	0.1033	0.09706	0.09151	0.09888
Organismal Systems	Metabolism	0	0	0	0	0
-Immune System	Metabolism	0	0	0	0	0
-Endocrine System	Metabolism	0	0	0	0	0
-Circulatory System	Metabolism	0	0	0	0	0
-Digestive System	Metabolism	0	0	0	0	0
-Excretory System	Metabolism	0	0	0	0	0
-Nervous System	Metabolism	0	0	0	0	0
-Sensory System	Metabolism	0	0	0	0	0
-Development	Metabolism	0	0	0	0	0
-Environmental Adaptation	Metabolism	0	0	0	0	0
Human Diseases	Metabolism	3.947e-07	3.329e-07	2.621e-07	2.343e-07	2.244e-07
-Cancers	Metabolism	0	0	0	0	0
-Immune Diseases	Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	Metabolism	0	0	0	0	0
-Substance Dependence	Metabolism	0	0	0	0	0
-Cardiovascular Diseases	Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	Metabolism	0	0	0	0	0
-Infectious Diseases	Metabolism	0	0	0	0	0
-Drug resistance	Metabolism	3.947e-07	3.329e-07	2.621e-07	2.343e-07	2.244e-07
Not Mapped	Metabolism	0.1745	0.1443	0.1366	0.1284	0.1339
-Not Mapped	Metabolism	0.1745	0.1443	0.1366	0.1284	0.1339
TOTAL	-Membrane Transport	9.666	10.67	11.57	13.32	16.72
MAPPED	-Membrane Transport	8.819	9.904	10.82	12.54	15.77
Genetic Information Processing	-Membrane Transport	3.734	4.399	5.142	6.242	8.437
-Transcription	-Membrane Transport	0.4753	0.5456	0.577	0.6217	0.7799
-Translation	-Membrane Transport	2.285	2.764	3.414	4.348	6.072
-Folding, Sorting and Degradation	-Membrane Transport	0.732	0.8292	0.8926	1.008	1.274
-DNA Maintenance	-Membrane Transport	0.242	0.2605	0.2584	0.2642	0.3113
-RNA Family	-Membrane Transport	9.573e-07	8.831e-07	7.185e-07	7.139e-07	7.968e-07
Environmental Information Processing	-Membrane Transport	0.1199	0.09846	0.08661	0.0839	0.0918
-Signal Transduction	-Membrane Transport	0.1191	0.09846	0.08661	0.0839	0.0918
-Signaling Molecules and Interaction	-Membrane Transport	0.0007534	2.649e-06	2.156e-06	2.142e-06	2.39e-06
Cellular Processes	-Membrane Transport	0.1156	0.1007	0.1055	0.1176	0.1407
-Cell Structure	-Membrane Transport	0.01188	0.0289	0.03252	0.03592	0.03615
-Crystallins	-Membrane Transport	0	0	0	0	0
-Vesicular transport	-Membrane Transport	0.0001924	0.0001598	0.0001768	0.0001756	0.000196
-Cytoskeleton	-Membrane Transport	0.03699	0.03962	0.03897	0.04247	0.05255
-Cell Motility	-Membrane Transport	0.04055	4.416e-05	3.593e-05	3.569e-05	3.984e-05
-Cell Growth and Death	-Membrane Transport	0.02601	0.03198	0.03379	0.03902	0.0518
-Cellular Community	-Membrane Transport	0	0	0	0	0
Metabolism	-Membrane Transport	4.85	5.306	5.483	6.094	7.102
-Membrane Transport	-Membrane Transport	1	1	1	1	1
-Central Carbon Metabolism	-Membrane Transport	1.804	1.808	1.768	1.831	2.017
-Energy Metabolism	-Membrane Transport	0.1874	0.2388	0.2698	0.2917	0.3354
-Biosynthesis	-Membrane Transport	1.362	1.711	1.913	2.414	3.047
-Other Enzymes	-Membrane Transport	0.4966	0.5481	0.5322	0.5576	0.7022
Organismal Systems	-Membrane Transport	0	0	0	0	0
-Immune System	-Membrane Transport	0	0	0	0	0
-Endocrine System	-Membrane Transport	0	0	0	0	0
-Circulatory System	-Membrane Transport	0	0	0	0	0
-Digestive System	-Membrane Transport	0	0	0	0	0
-Excretory System	-Membrane Transport	0	0	0	0	0
-Nervous System	-Membrane Transport	0	0	0	0	0
-Sensory System	-Membrane Transport	0	0	0	0	0
-Development	-Membrane Transport	0	0	0	0	0
-Environmental Adaptation	-Membrane Transport	0	0	0	0	0
Human Diseases	-Membrane Transport	1.915e-06	1.766e-06	1.437e-06	1.428e-06	1.594e-06
-Cancers	-Membrane Transport	0	0	0	0	0
-Immune Diseases	-Membrane Transport	0	0	0	0	0
-Neurodegenerative Diseases	-Membrane Transport	0	0	0	0	0
-Substance Dependence	-Membrane Transport	0	0	0	0	0
-Cardiovascular Diseases	-Membrane Transport	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Membrane Transport	0	0	0	0	0
-Infectious Diseases	-Membrane Transport	0	0	0	0	0
-Drug resistance	-Membrane Transport	1.915e-06	1.766e-06	1.437e-06	1.428e-06	1.594e-06
Not Mapped	-Membrane Transport	0.8464	0.7656	0.7491	0.7826	0.9512
-Not Mapped	-Membrane Transport	0.8464	0.7656	0.7491	0.7826	0.9512
TOTAL	-Central Carbon Metabolism	5.357	5.901	6.541	7.275	8.291
MAPPED	-Central Carbon Metabolism	4.888	5.477	6.118	6.848	7.819
Genetic Information Processing	-Central Carbon Metabolism	2.069	2.433	2.908	3.409	4.183
-Transcription	-Central Carbon Metabolism	0.2634	0.3017	0.3263	0.3396	0.3867
-Translation	-Central Carbon Metabolism	1.266	1.528	1.931	2.375	3.01
-Folding, Sorting and Degradation	-Central Carbon Metabolism	0.4057	0.4586	0.5048	0.5507	0.6317
-DNA Maintenance	-Central Carbon Metabolism	0.1341	0.1441	0.1461	0.1443	0.1543
-RNA Family	-Central Carbon Metabolism	5.306e-07	4.884e-07	4.064e-07	3.899e-07	3.95e-07
Environmental Information Processing	-Central Carbon Metabolism	0.06644	0.05445	0.04898	0.04583	0.04551
-Signal Transduction	-Central Carbon Metabolism	0.06603	0.05445	0.04898	0.04582	0.04551
-Signaling Molecules and Interaction	-Central Carbon Metabolism	0.0004176	1.465e-06	1.219e-06	1.17e-06	1.185e-06
Cellular Processes	-Central Carbon Metabolism	0.06408	0.0557	0.05966	0.06424	0.06977
-Cell Structure	-Central Carbon Metabolism	0.006584	0.01599	0.01839	0.01962	0.01792
-Crystallins	-Central Carbon Metabolism	0	0	0	0	0
-Vesicular transport	-Central Carbon Metabolism	0.0001066	8.84e-05	9.996e-05	9.592e-05	9.718e-05
-Cytoskeleton	-Central Carbon Metabolism	0.0205	0.02191	0.02204	0.02319	0.02606
-Cell Motility	-Central Carbon Metabolism	0.02248	2.442e-05	2.032e-05	1.95e-05	1.975e-05
-Cell Growth and Death	-Central Carbon Metabolism	0.01441	0.01769	0.01911	0.02131	0.02568
-Cellular Community	-Central Carbon Metabolism	0	0	0	0	0
Metabolism	-Central Carbon Metabolism	2.688	2.935	3.101	3.328	3.521
-Membrane Transport	-Central Carbon Metabolism	0.5542	0.553	0.5655	0.5462	0.4958
-Central Carbon Metabolism	-Central Carbon Metabolism	1	1	1	1	1
-Energy Metabolism	-Central Carbon Metabolism	0.1039	0.1321	0.1526	0.1593	0.1663
-Biosynthesis	-Central Carbon Metabolism	0.7548	0.9463	1.082	1.318	1.511
-Other Enzymes	-Central Carbon Metabolism	0.2752	0.3031	0.301	0.3046	0.3482
Organismal Systems	-Central Carbon Metabolism	0	0	0	0	0
-Immune System	-Central Carbon Metabolism	0	0	0	0	0
-Endocrine System	-Central Carbon Metabolism	0	0	0	0	0
-Circulatory System	-Central Carbon Metabolism	0	0	0	0	0
-Digestive System	-Central Carbon Metabolism	0	0	0	0	0
-Excretory System	-Central Carbon Metabolism	0	0	0	0	0
-Nervous System	-Central Carbon Metabolism	0	0	0	0	0
-Sensory System	-Central Carbon Metabolism	0	0	0	0	0
-Development	-Central Carbon Metabolism	0	0	0	0	0
-Environmental Adaptation	-Central Carbon Metabolism	0	0	0	0	0
Human Diseases	-Central Carbon Metabolism	1.061e-06	9.768e-07	8.127e-07	7.798e-07	7.901e-07
-Cancers	-Central Carbon Metabolism	0	0	0	0	0
-Immune Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Substance Dependence	-Central Carbon Metabolism	0	0	0	0	0
-Cardiovascular Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Infectious Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Drug resistance	-Central Carbon Metabolism	1.061e-06	9.768e-07	8.127e-07	7.798e-07	7.901e-07
Not Mapped	-Central Carbon Metabolism	0.4691	0.4234	0.4237	0.4274	0.4716
-Not Mapped	-Central Carbon Metabolism	0.4691	0.4234	0.4237	0.4274	0.4716
TOTAL	-Energy Metabolism	51.58	44.68	42.87	45.67	49.86
MAPPED	-Energy Metabolism	47.06	41.48	40.1	42.98	47.02
Genetic Information Processing	-Energy Metabolism	19.92	18.42	19.06	21.4	25.16
-Transcription	-Energy Metabolism	2.536	2.285	2.139	2.131	2.325
-Translation	-Energy Metabolism	12.19	11.57	12.66	14.91	18.1
-Folding, Sorting and Degradation	-Energy Metabolism	3.906	3.472	3.309	3.457	3.799
-DNA Maintenance	-Energy Metabolism	1.291	1.091	0.9576	0.9058	0.928
-RNA Family	-Energy Metabolism	5.108e-06	3.698e-06	2.663e-06	2.448e-06	2.376e-06
Environmental Information Processing	-Energy Metabolism	0.6397	0.4123	0.321	0.2876	0.2737
-Signal Transduction	-Energy Metabolism	0.6357	0.4123	0.321	0.2876	0.2737
-Signaling Molecules and Interaction	-Energy Metabolism	0.00402	1.109e-05	7.99e-06	7.343e-06	7.127e-06
Cellular Processes	-Energy Metabolism	0.6169	0.4217	0.391	0.4032	0.4196
-Cell Structure	-Energy Metabolism	0.06339	0.121	0.1205	0.1231	0.1078
-Crystallins	-Energy Metabolism	0	0	0	0	0
-Vesicular transport	-Energy Metabolism	0.001027	0.0006694	0.0006552	0.0006021	0.0005844
-Cytoskeleton	-Energy Metabolism	0.1974	0.1659	0.1444	0.1456	0.1567
-Cell Motility	-Energy Metabolism	0.2164	0.0001849	0.0001332	0.0001224	0.0001188
-Cell Growth and Death	-Energy Metabolism	0.1388	0.1339	0.1253	0.1338	0.1544
-Cellular Community	-Energy Metabolism	0	0	0	0	0
Metabolism	-Energy Metabolism	25.88	22.22	20.32	20.89	21.17
-Membrane Transport	-Energy Metabolism	5.336	4.188	3.707	3.429	2.981
-Central Carbon Metabolism	-Energy Metabolism	9.627	7.572	6.554	6.277	6.014
-Energy Metabolism	-Energy Metabolism	1	1	1	1	1
-Biosynthesis	-Energy Metabolism	7.266	7.166	7.09	8.275	9.086
-Other Enzymes	-Energy Metabolism	2.65	2.295	1.973	1.912	2.094
Organismal Systems	-Energy Metabolism	0	0	0	0	0
-Immune System	-Energy Metabolism	0	0	0	0	0
-Endocrine System	-Energy Metabolism	0	0	0	0	0
-Circulatory System	-Energy Metabolism	0	0	0	0	0
-Digestive System	-Energy Metabolism	0	0	0	0	0
-Excretory System	-Energy Metabolism	0	0	0	0	0
-Nervous System	-Energy Metabolism	0	0	0	0	0
-Sensory System	-Energy Metabolism	0	0	0	0	0
-Development	-Energy Metabolism	0	0	0	0	0
-Environmental Adaptation	-Energy Metabolism	0	0	0	0	0
Human Diseases	-Energy Metabolism	1.022e-05	7.396e-06	5.327e-06	4.895e-06	4.751e-06
-Cancers	-Energy Metabolism	0	0	0	0	0
-Immune Diseases	-Energy Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	-Energy Metabolism	0	0	0	0	0
-Substance Dependence	-Energy Metabolism	0	0	0	0	0
-Cardiovascular Diseases	-Energy Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Energy Metabolism	0	0	0	0	0
-Infectious Diseases	-Energy Metabolism	0	0	0	0	0
-Drug resistance	-Energy Metabolism	1.022e-05	7.396e-06	5.327e-06	4.895e-06	4.751e-06
Not Mapped	-Energy Metabolism	4.516	3.206	2.777	2.683	2.836
-Not Mapped	-Energy Metabolism	4.516	3.206	2.777	2.683	2.836
TOTAL	-Biosynthesis	7.098	6.235	6.047	5.519	5.488
MAPPED	-Biosynthesis	6.476	5.788	5.656	5.194	5.175
Genetic Information Processing	-Biosynthesis	2.742	2.571	2.689	2.586	2.769
-Transcription	-Biosynthesis	0.349	0.3188	0.3016	0.2576	0.2559
-Translation	-Biosynthesis	1.678	1.615	1.785	1.801	1.992
-Folding, Sorting and Degradation	-Biosynthesis	0.5375	0.4846	0.4667	0.4178	0.4181
-DNA Maintenance	-Biosynthesis	0.1777	0.1522	0.1351	0.1095	0.1021
-RNA Family	-Biosynthesis	7.03e-07	5.161e-07	3.757e-07	2.958e-07	2.615e-07
Environmental Information Processing	-Biosynthesis	0.08803	0.05754	0.04528	0.03476	0.03012
-Signal Transduction	-Biosynthesis	0.08748	0.05754	0.04528	0.03476	0.03012
-Signaling Molecules and Interaction	-Biosynthesis	0.0005532	1.548e-06	1.127e-06	8.874e-07	7.844e-07
Cellular Processes	-Biosynthesis	0.0849	0.05885	0.05516	0.04873	0.04618
-Cell Structure	-Biosynthesis	0.008724	0.01689	0.017	0.01488	0.01186
-Crystallins	-Biosynthesis	0	0	0	0	0
-Vesicular transport	-Biosynthesis	0.0001413	9.341e-05	9.241e-05	7.276e-05	6.432e-05
-Cytoskeleton	-Biosynthesis	0.02716	0.02315	0.02037	0.01759	0.01725
-Cell Motility	-Biosynthesis	0.02978	2.58e-05	1.878e-05	1.479e-05	1.307e-05
-Cell Growth and Death	-Biosynthesis	0.0191	0.01869	0.01767	0.01617	0.017
-Cellular Community	-Biosynthesis	0	0	0	0	0
Metabolism	-Biosynthesis	3.562	3.101	2.867	2.525	2.331
-Membrane Transport	-Biosynthesis	0.7343	0.5844	0.5228	0.4143	0.3281
-Central Carbon Metabolism	-Biosynthesis	1.325	1.057	0.9245	0.7586	0.6619
-Energy Metabolism	-Biosynthesis	0.1376	0.1396	0.1411	0.1208	0.1101
-Biosynthesis	-Biosynthesis	1	1	1	1	1
-Other Enzymes	-Biosynthesis	0.3647	0.3203	0.2782	0.231	0.2304
Organismal Systems	-Biosynthesis	0	0	0	0	0
-Immune System	-Biosynthesis	0	0	0	0	0
-Endocrine System	-Biosynthesis	0	0	0	0	0
-Circulatory System	-Biosynthesis	0	0	0	0	0
-Digestive System	-Biosynthesis	0	0	0	0	0
-Excretory System	-Biosynthesis	0	0	0	0	0
-Nervous System	-Biosynthesis	0	0	0	0	0
-Sensory System	-Biosynthesis	0	0	0	0	0
-Development	-Biosynthesis	0	0	0	0	0
-Environmental Adaptation	-Biosynthesis	0	0	0	0	0
Human Diseases	-Biosynthesis	1.406e-06	1.032e-06	7.513e-07	5.916e-07	5.229e-07
-Cancers	-Biosynthesis	0	0	0	0	0
-Immune Diseases	-Biosynthesis	0	0	0	0	0
-Neurodegenerative Diseases	-Biosynthesis	0	0	0	0	0
-Substance Dependence	-Biosynthesis	0	0	0	0	0
-Cardiovascular Diseases	-Biosynthesis	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Biosynthesis	0	0	0	0	0
-Infectious Diseases	-Biosynthesis	0	0	0	0	0
-Drug resistance	-Biosynthesis	1.406e-06	1.032e-06	7.513e-07	5.916e-07	5.229e-07
Not Mapped	-Biosynthesis	0.6215	0.4474	0.3917	0.3243	0.3121
-Not Mapped	-Biosynthesis	0.6215	0.4474	0.3917	0.3243	0.3121
TOTAL	-Other Enzymes	19.46	19.47	21.73	23.89	23.81
MAPPED	-Other Enzymes	17.76	18.07	20.33	22.48	22.46
Genetic Information Processing	-Other Enzymes	7.519	8.025	9.663	11.19	12.01
-Transcription	-Other Enzymes	0.9571	0.9953	1.084	1.115	1.111
-Translation	-Other Enzymes	4.601	5.042	6.416	7.797	8.646
-Folding, Sorting and Degradation	-Other Enzymes	1.474	1.513	1.677	1.808	1.814
-DNA Maintenance	-Other Enzymes	0.4873	0.4753	0.4855	0.4738	0.4433
-RNA Family	-Other Enzymes	1.928e-06	1.611e-06	1.35e-06	1.28e-06	1.135e-06
Environmental Information Processing	-Other Enzymes	0.2414	0.1796	0.1627	0.1505	0.1307
-Signal Transduction	-Other Enzymes	0.2399	0.1796	0.1627	0.1505	0.1307
-Signaling Molecules and Interaction	-Other Enzymes	0.001517	4.833e-06	4.051e-06	3.841e-06	3.404e-06
Cellular Processes	-Other Enzymes	0.2328	0.1837	0.1982	0.2109	0.2004
-Cell Structure	-Other Enzymes	0.02392	0.05273	0.06111	0.06441	0.05147
-Crystallins	-Other Enzymes	0	0	0	0	0
-Vesicular transport	-Other Enzymes	0.0003875	0.0002916	0.0003321	0.0003149	0.0002791
-Cytoskeleton	-Other Enzymes	0.07448	0.07228	0.07322	0.07616	0.07484
-Cell Motility	-Other Enzymes	0.08166	8.056e-05	6.751e-05	6.401e-05	5.673e-05
-Cell Growth and Death	-Other Enzymes	0.05237	0.05835	0.0635	0.06998	0.07376
-Cellular Community	-Other Enzymes	0	0	0	0	0
Metabolism	-Other Enzymes	9.766	9.681	10.3	10.93	10.11
-Membrane Transport	-Other Enzymes	2.014	1.824	1.879	1.793	1.424
-Central Carbon Metabolism	-Other Enzymes	3.633	3.299	3.323	3.283	2.872
-Energy Metabolism	-Other Enzymes	0.3774	0.4357	0.5069	0.5231	0.4776
-Biosynthesis	-Other Enzymes	2.742	3.122	3.594	4.328	4.34
-Other Enzymes	-Other Enzymes	1	1	1	1	1
Organismal Systems	-Other Enzymes	0	0	0	0	0
-Immune System	-Other Enzymes	0	0	0	0	0
-Endocrine System	-Other Enzymes	0	0	0	0	0
-Circulatory System	-Other Enzymes	0	0	0	0	0
-Digestive System	-Other Enzymes	0	0	0	0	0
-Excretory System	-Other Enzymes	0	0	0	0	0
-Nervous System	-Other Enzymes	0	0	0	0	0
-Sensory System	-Other Enzymes	0	0	0	0	0
-Development	-Other Enzymes	0	0	0	0	0
-Environmental Adaptation	-Other Enzymes	0	0	0	0	0
Human Diseases	-Other Enzymes	3.855e-06	3.222e-06	2.7e-06	2.561e-06	2.269e-06
-Cancers	-Other Enzymes	0	0	0	0	0
-Immune Diseases	-Other Enzymes	0	0	0	0	0
-Neurodegenerative Diseases	-Other Enzymes	0	0	0	0	0
-Substance Dependence	-Other Enzymes	0	0	0	0	0
-Cardiovascular Diseases	-Other Enzymes	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Other Enzymes	0	0	0	0	0
-Infectious Diseases	-Other Enzymes	0	0	0	0	0
-Drug resistance	-Other Enzymes	3.855e-06	3.222e-06	2.7e-06	2.561e-06	2.269e-06
Not Mapped	-Other Enzymes	1.704	1.397	1.408	1.403	1.355
-Not Mapped	-Other Enzymes	1.704	1.397	1.408	1.403	1.355
TOTAL	Organismal Systems	Inf	Inf	Inf	Inf	Inf
MAPPED	Organismal Systems	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Transcription	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Translation	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-RNA Family	Organismal Systems	Inf	Inf	Inf	Inf	Inf
Environmental Information Processing	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	Organismal Systems	Inf	Inf	Inf	Inf	Inf
Cellular Processes	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Cell Structure	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Crystallins	Organismal Systems	NaN	NaN	NaN	NaN	NaN
-Vesicular transport	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Cell Motility	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	Organismal Systems	Inf	Inf	Inf	Inf	Inf
-Cellular Community	Organismal Systems	NaN	NaN	NaN	NaN	NaN
Metabolism	Organismal Systems	Inf	Inf	Inf	Inf	Inf
