Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Signaling Molecules and Interaction	-Central Carbon Metabolism	0.0004042	0.0004718	0.0005002	1.445e-06	1.495e-06	1.663e-06	1.191e-06	1.229e-06	1.373e-06	1.151e-06	1.184e-06	1.317e-06	1.189e-06	1.216e-06	1.313e-06
Cellular Processes	-Central Carbon Metabolism	0.07262	0.07527	0.08516	0.05491	0.06107	0.06661	0.05827	0.06693	0.07191	0.06322	0.07163	0.0772	0.07103	0.07983	0.08365
-Cell Structure	-Central Carbon Metabolism	0.006374	0.00744	0.007888	0.01576	0.01631	0.01814	0.01796	0.01854	0.02072	0.01931	0.01985	0.02209	0.01797	0.01838	0.01986
-Crystallins	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Central Carbon Metabolism	0.000114	0.0001243	0.003503	8.716e-05	9.74e-05	0.003018	9.764e-05	0.0001111	0.004434	9.441e-05	0.0001073	0.003604	9.893e-05	0.0001067	0.006067
-Cytoskeleton	-Central Carbon Metabolism	0.01985	0.02317	0.02456	0.0216	0.02236	0.02496	0.02152	0.02222	0.02487	0.02283	0.02347	0.02643	0.02613	0.02673	0.02967
-Cell Motility	-Central Carbon Metabolism	0.02696	0.02826	0.03281	2.36e-05	2.527e-05	2.806e-05	1.945e-05	2.116e-05	2.326e-05	1.88e-05	2.041e-05	2.235e-05	1.969e-05	2.079e-05	2.223e-05
-Cell Growth and Death	-Central Carbon Metabolism	0.01544	0.01659	0.01952	0.01744	0.02019	0.0233	0.01867	0.02222	0.02601	0.02098	0.02493	0.02882	0.02614	0.03077	0.03462
-Cellular Community	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Central Carbon Metabolism	2.671	3.135	3.304	2.991	3.104	3.423	3.124	3.234	3.605	3.368	3.478	3.878	3.626	3.741	4.053
-Membrane Transport	-Central Carbon Metabolism	0.4525	0.5311	0.6297	0.4895	0.531	0.6032	0.4909	0.5343	0.6033	0.4803	0.526	0.5907	0.4616	0.5089	0.5467
-Central Carbon Metabolism	-Central Carbon Metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Energy Metabolism	-Central Carbon Metabolism	0.09693	0.1201	0.1974	0.1271	0.1593	0.2412	0.1434	0.1731	0.2605	0.147	0.1752	0.2637	0.1544	0.1796	0.2473
-Biosynthesis	-Central Carbon Metabolism	0.7089	0.8124	0.8629	0.8953	0.9234	1.013	1.018	1.059	1.165	1.256	1.298	1.432	1.459	1.506	1.614
-Other Enzymes	-Central Carbon Metabolism	0.4125	0.5571	0.6753	0.4562	0.5005	0.5569	0.4552	0.5124	0.5656	0.4647	0.5234	0.5837	0.5245	0.5821	0.6421
Organismal Systems	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Central Carbon Metabolism	0.0003759	0.002454	0.02019	0.0003718	0.002503	0.02254	0.0003465	0.002965	0.02851	0.0003336	0.002949	0.02917	0.0003915	0.003222	0.03474
-Cancers	-Central Carbon Metabolism	0	0.0004469	0.0005366	0	0.0003594	0.0004102	0	0.0003353	0.0003845	0	0.0003234	0.0003681	0	0.0003803	0.0004184
-Immune Diseases	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Central Carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Central Carbon Metabolism	2.28e-06	0.000864	0.001431	1.994e-06	0.0008115	0.001522	1.638e-06	0.001121	0.001924	1.577e-06	0.001026	0.001839	1.621e-06	0.001261	0.002162
-Drug resistance	-Central Carbon Metabolism	1.14e-06	0.0004987	0.01933	9.968e-07	0.0006423	0.02172	8.192e-07	0.0007016	0.02739	7.887e-07	0.0007764	0.02815	8.105e-07	0.0006413	0.03348
Not Mapped	-Central Carbon Metabolism	0.4541	0.5301	0.562	0.4175	0.4321	0.4806	0.4138	0.4272	0.4773	0.4207	0.4326	0.4812	0.473	0.4838	0.5227
-Not Mapped	-Central Carbon Metabolism	0.4541	0.5301	0.562	0.4175	0.4321	0.4806	0.4138	0.4272	0.4773	0.4207	0.4326	0.4812	0.473	0.4838	0.5227
TOTAL	-Energy Metabolism	30.8	44.91	52.88	25.02	36.68	44.66	25.37	36.95	44.81	27.19	40.34	48.06	33.29	46.08	52.33
MAPPED	-Energy Metabolism	28.11	40.98	48.25	23.22	34.05	41.46	23.73	34.56	41.91	25.59	37.97	45.23	31.4	43.46	49.35
Genetic Information Processing	-Energy Metabolism	11.43	16.51	19.53	9.909	14.39	17.66	10.86	15.7	19.26	12.32	18.15	21.91	16.26	22.38	25.72
-Transcription	-Energy Metabolism	1.428	2.062	2.401	1.208	1.735	2.13	1.201	1.698	2.04	1.207	1.749	2.05	1.469	1.969	2.266
-Translation	-Energy Metabolism	7.21	10.44	12.38	6.42	9.344	11.5	7.434	10.77	13.14	8.816	13.01	15.59	12.01	16.56	18.89
-Folding, Sorting and Degradation	-Energy Metabolism	1.983	2.838	3.448	1.638	2.34	2.95	1.64	2.327	2.957	1.739	2.541	3.248	2.133	2.873	3.574
-DNA Maintenance	-Energy Metabolism	0.8113	1.091	1.302	0.6428	0.8645	1.068	0.5887	0.7936	0.9823	0.5596	0.7692	0.967	0.6505	0.8236	0.9951
-RNA Family	-Energy Metabolism	4.881e-05	6.179e-05	7.727e-05	3.313e-05	4.307e-05	5.445e-05	2.522e-05	3.162e-05	4.033e-05	2.332e-05	2.92e-05	3.723e-05	2.538e-05	2.992e-05	3.733e-05
Environmental Information Processing	-Energy Metabolism	0.2952	0.502	0.6591	0.1794	0.3379	0.4827	0.1484	0.275	0.4098	0.1375	0.2623	0.4073	0.1496	0.2635	0.4057
-Signal Transduction	-Energy Metabolism	0.2928	0.4984	0.655	0.1794	0.3379	0.4827	0.1484	0.275	0.4098	0.1375	0.2623	0.4073	0.1496	0.2635	0.4057
-Signaling Molecules and Interaction	-Energy Metabolism	0.002401	0.003501	0.004121	6.212e-06	9.107e-06	1.109e-05	4.728e-06	6.887e-06	8.352e-06	4.372e-06	6.486e-06	7.727e-06	4.759e-06	6.587e-06	7.48e-06
Cellular Processes	-Energy Metabolism	0.3934	0.6142	0.6712	0.2488	0.3773	0.4362	0.2471	0.3786	0.4191	0.2563	0.3947	0.448	0.3031	0.426	0.4711
-Cell Structure	-Energy Metabolism	0.03786	0.0552	0.06499	0.06777	0.09936	0.121	0.07133	0.1039	0.126	0.07332	0.1088	0.1296	0.07196	0.09961	0.1131
-Crystallins	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Energy Metabolism	0.0006101	0.001015	0.02916	0.0003727	0.0006533	0.01894	0.0003861	0.0006349	0.02561	0.0003571	0.0005895	0.02056	0.0003886	0.0005929	0.03377
-Cytoskeleton	-Energy Metabolism	0.1179	0.1719	0.2024	0.09289	0.1362	0.1658	0.08547	0.1245	0.151	0.08669	0.1286	0.1532	0.1046	0.1448	0.1644
-Cell Motility	-Energy Metabolism	0.1412	0.2244	0.2535	0.0001056	0.0001488	0.0001815	8.038e-05	0.0001125	0.0001403	7.433e-05	0.0001059	0.0001341	8.09e-05	0.0001076	0.0001312
-Cell Growth and Death	-Energy Metabolism	0.09583	0.1337	0.1593	0.08768	0.1232	0.1537	0.0891	0.1251	0.1478	0.09586	0.1357	0.1583	0.1226	0.1568	0.1909
-Cellular Community	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Energy Metabolism	15.98	23.21	27.38	12.88	18.79	22.96	12.47	18.08	21.79	12.88	19.04	22.53	14.68	20.24	22.82
-Membrane Transport	-Energy Metabolism	3.098	4.372	4.668	2.212	3.292	3.858	2.085	3.005	3.424	1.948	2.874	3.213	1.97	2.693	2.905
-Central Carbon Metabolism	-Energy Metabolism	4.91	7.212	9.189	3.764	5.457	7.677	3.455	5.014	6.853	3.32	4.866	6.69	3.623	4.881	6.293
-Energy Metabolism	-Energy Metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Biosynthesis	-Energy Metabolism	4.08	6.1	6.981	3.784	5.733	6.912	3.972	5.935	6.975	4.67	7.2	8.522	5.763	8.149	9.321
-Other Enzymes	-Energy Metabolism	2.894	3.982	5.587	2.111	2.962	3.618	1.954	2.746	3.198	1.938	2.763	3.158	2.326	3.174	3.491
Organismal Systems	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Energy Metabolism	0.001846	0.01459	0.1307	0.001957	0.01204	0.118	0.002128	0.01256	0.1295	0.002222	0.01196	0.127	0.002536	0.01325	0.1577
-Cancers	-Energy Metabolism	0	0.002928	0.004556	0	0.001701	0.002686	0	0.001479	0.002338	0	0.001396	0.002164	0	0.001692	0.002393
-Immune Diseases	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Energy Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Energy Metabolism	2.095e-05	0.007692	0.01071	1.452e-05	0.005989	0.008406	1.123e-05	0.007088	0.009326	1.073e-05	0.006256	0.008275	1.05e-05	0.007539	0.009368
-Drug resistance	-Energy Metabolism	1.047e-05	0.003803	0.1297	7.26e-06	0.003643	0.1167	5.614e-06	0.003724	0.1282	5.366e-06	0.004029	0.1256	5.25e-06	0.003541	0.1558
Not Mapped	-Energy Metabolism	2.697	3.933	4.63	1.795	2.632	3.205	1.643	2.393	2.902	1.598	2.37	2.824	1.894	2.621	2.976
-Not Mapped	-Energy Metabolism	2.697	3.933	4.63	1.795	2.632	3.205	1.643	2.393	2.902	1.598	2.37	2.824	1.894	2.621	2.976
TOTAL	-Biosynthesis	6.93	7.451	7.774	6.029	6.461	6.631	5.854	6.269	6.42	5.35	5.707	5.822	5.425	5.673	5.827
MAPPED	-Biosynthesis	6.323	6.799	7.093	5.597	5.998	6.155	5.475	5.863	6.005	5.036	5.371	5.48	5.116	5.35	5.495
Genetic Information Processing	-Biosynthesis	2.547	2.763	2.888	2.366	2.555	2.65	2.487	2.687	2.761	2.407	2.586	2.643	2.634	2.778	2.842
-Transcription	-Biosynthesis	0.3221	0.3449	0.355	0.2912	0.3105	0.3192	0.2774	0.2955	0.3024	0.2374	0.2513	0.2584	0.2383	0.2494	0.2549
-Translation	-Biosynthesis	1.61	1.748	1.83	1.536	1.663	1.72	1.706	1.842	1.899	1.726	1.853	1.903	1.949	2.052	2.102
-Folding, Sorting and Degradation	-Biosynthesis	0.4462	0.486	0.5098	0.3968	0.4267	0.4474	0.3781	0.413	0.4301	0.3417	0.3711	0.3843	0.348	0.3701	0.3834
-DNA Maintenance	-Biosynthesis	0.1683	0.1847	0.2002	0.1421	0.1566	0.1699	0.1257	0.1383	0.1482	0.102	0.1119	0.1198	0.09694	0.1044	0.1129
-RNA Family	-Biosynthesis	8.052e-06	1.162e-05	1.232e-05	5.859e-06	8.35e-06	8.781e-06	4.257e-06	6.036e-06	6.382e-06	3.344e-06	4.708e-06	4.993e-06	2.956e-06	4.167e-06	4.408e-06
Environmental Information Processing	-Biosynthesis	0.07235	0.08025	0.09746	0.04741	0.05894	0.07402	0.03737	0.04633	0.05875	0.02944	0.03643	0.04779	0.02595	0.03233	0.04294
-Signal Transduction	-Biosynthesis	0.07176	0.07968	0.09685	0.04741	0.05894	0.07402	0.03737	0.04633	0.05875	0.02944	0.03643	0.04779	0.02595	0.03233	0.04294
-Signaling Molecules and Interaction	-Biosynthesis	0.0005401	0.0005807	0.0006059	1.497e-06	1.604e-06	1.646e-06	1.091e-06	1.168e-06	1.197e-06	8.603e-07	9.176e-07	9.361e-07	7.754e-07	8.109e-07	8.329e-07
Cellular Processes	-Biosynthesis	0.09265	0.09767	0.1026	0.06099	0.06446	0.06595	0.05718	0.06068	0.06365	0.05033	0.05347	0.05518	0.04774	0.05225	0.05431
-Cell Structure	-Biosynthesis	0.008517	0.009158	0.009555	0.01633	0.0175	0.01796	0.01646	0.01763	0.01805	0.01443	0.01539	0.0157	0.01173	0.01226	0.01259
-Crystallins	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Biosynthesis	0.0001456	0.0001517	0.004601	9.588e-05	9.878e-05	0.003207	9.481e-05	9.772e-05	0.004198	7.448e-05	7.645e-05	0.002776	6.585e-05	6.75e-05	0.004039
-Cytoskeleton	-Biosynthesis	0.02652	0.02889	0.02975	0.02239	0.02443	0.02491	0.01972	0.0215	0.02182	0.01706	0.0185	0.01867	0.01705	0.0181	0.01832
-Cell Motility	-Biosynthesis	0.03461	0.03678	0.03961	2.445e-05	2.672e-05	2.799e-05	1.782e-05	1.947e-05	2.034e-05	1.405e-05	1.529e-05	1.591e-05	1.266e-05	1.35e-05	1.405e-05
-Cell Growth and Death	-Biosynthesis	0.01978	0.02208	0.02348	0.01935	0.02146	0.02317	0.01831	0.02104	0.02263	0.0167	0.0192	0.0205	0.01755	0.02048	0.02186
-Cellular Community	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Biosynthesis	3.581	3.859	3.962	3.089	3.322	3.404	2.864	3.072	3.144	2.526	2.693	2.757	2.383	2.491	2.548
-Membrane Transport	-Biosynthesis	0.6382	0.7165	0.7385	0.5341	0.5541	0.6116	0.4746	0.499	0.5381	0.3771	0.3975	0.4284	0.3116	0.3233	0.3476
-Central Carbon Metabolism	-Biosynthesis	1.113	1.207	1.365	0.8971	1.06	1.111	0.7944	0.9189	0.9813	0.6454	0.7418	0.7959	0.5746	0.6545	0.6831
-Energy Metabolism	-Biosynthesis	0.1367	0.1543	0.2288	0.1384	0.1644	0.2387	0.1386	0.1584	0.2269	0.117	0.1326	0.1923	0.1058	0.1177	0.158
-Biosynthesis	-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Other Enzymes	-Biosynthesis	0.5819	0.7091	0.8312	0.4869	0.5177	0.561	0.4316	0.4633	0.4987	0.3641	0.3887	0.4161	0.3541	0.3886	0.4054
Organismal Systems	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Biosynthesis	0.0004523	0.002963	0.02592	0.0004153	0.002478	0.02441	0.0003405	0.002579	0.02693	0.0002655	0.002083	0.02248	0.0002684	0.001996	0.02306
-Cancers	-Biosynthesis	0	0.0005971	0.0006698	0	0.0003693	0.0004061	0	0.0003055	0.000335	0	0.0002409	0.0002618	0	0.0002481	0.0002645
-Immune Diseases	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Biosynthesis	3.098e-06	0.001109	0.001727	2.227e-06	0.0008789	0.001503	1.61e-06	0.001058	0.001652	1.255e-06	0.0007905	0.001284	1.111e-06	0.0008372	0.00134
-Drug resistance	-Biosynthesis	1.549e-06	0.0006073	0.02481	1.113e-06	0.0006342	0.02353	8.049e-07	0.0006023	0.02587	6.277e-07	0.000542	0.02169	5.556e-07	0.0003974	0.02223
Not Mapped	-Biosynthesis	0.6068	0.6525	0.6807	0.4326	0.4636	0.4758	0.3792	0.4061	0.4158	0.3144	0.3353	0.3421	0.3086	0.3227	0.3314
-Not Mapped	-Biosynthesis	0.6068	0.6525	0.6807	0.4326	0.4636	0.4758	0.3792	0.4061	0.4158	0.3144	0.3353	0.3421	0.3086	0.3227	0.3314
TOTAL	-Other Enzymes	8.964	10.34	11.28	11.37	12.38	13.03	12.29	13.46	14.41	13.41	14.6	15.58	13.8	14.52	15.78
MAPPED	-Other Enzymes	8.179	9.431	10.29	10.55	11.5	12.09	11.5	12.58	13.47	12.63	13.74	14.66	13.01	13.7	14.88
Genetic Information Processing	-Other Enzymes	3.324	3.809	4.164	4.479	4.881	5.116	5.239	5.718	6.139	6.055	6.568	7.05	6.725	7.1	7.791
-Transcription	-Other Enzymes	0.4082	0.4779	0.5435	0.5347	0.5872	0.6051	0.5644	0.6168	0.6473	0.5761	0.6278	0.6596	0.5951	0.6391	0.6728
-Translation	-Other Enzymes	2.103	2.404	2.621	2.917	3.178	3.318	3.603	3.922	4.205	4.349	4.709	5.022	4.975	5.244	5.723
-Folding, Sorting and Degradation	-Other Enzymes	0.5847	0.6578	0.7263	0.7564	0.815	0.888	0.8044	0.8523	0.9775	0.8705	0.9151	1.054	0.9012	0.9341	1.083
-DNA Maintenance	-Other Enzymes	0.2211	0.2583	0.2804	0.2716	0.2984	0.3302	0.2672	0.2946	0.3295	0.2591	0.2831	0.3201	0.2493	0.2666	0.3104
-RNA Family	-Other Enzymes	1.126e-05	1.494e-05	1.747e-05	1.186e-05	1.533e-05	1.742e-05	9.863e-06	1.261e-05	1.432e-05	9.184e-06	1.179e-05	1.339e-05	8.161e-06	1.036e-05	1.203e-05
Environmental Information Processing	-Other Enzymes	0.08687	0.1164	0.1359	0.08451	0.1146	0.1317	0.07595	0.1015	0.1187	0.07097	0.09817	0.1137	0.06429	0.08906	0.1016
-Signal Transduction	-Other Enzymes	0.08615	0.1155	0.135	0.08451	0.1146	0.1317	0.07595	0.1015	0.1187	0.07097	0.09817	0.1137	0.06429	0.08906	0.1016
-Signaling Molecules and Interaction	-Other Enzymes	0.0006987	0.0008056	0.0008791	2.823e-06	3.075e-06	3.235e-06	2.291e-06	2.508e-06	2.685e-06	2.157e-06	2.348e-06	2.505e-06	1.973e-06	2.076e-06	2.256e-06
Cellular Processes	-Other Enzymes	0.1115	0.1333	0.1542	0.109	0.122	0.1308	0.114	0.1265	0.141	0.1201	0.1327	0.1472	0.118	0.1303	0.1436
-Cell Structure	-Other Enzymes	0.01102	0.0127	0.01386	0.0308	0.03355	0.03529	0.03456	0.03784	0.04051	0.03617	0.03937	0.042	0.02983	0.03139	0.03411
-Crystallins	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Other Enzymes	0.0001784	0.0002047	0.007093	0.0001694	0.0001865	0.006381	0.0001871	0.0002068	0.009301	0.0001761	0.0001933	0.007234	0.0001611	0.0001702	0.01059
-Cytoskeleton	-Other Enzymes	0.0343	0.03955	0.04448	0.04222	0.04598	0.04837	0.04141	0.04533	0.04853	0.04277	0.04655	0.04966	0.04337	0.04563	0.04959
-Cell Motility	-Other Enzymes	0.04184	0.04954	0.06053	4.706e-05	5.022e-05	5.553e-05	3.818e-05	4.113e-05	4.564e-05	3.595e-05	3.836e-05	4.269e-05	3.288e-05	3.438e-05	3.834e-05
-Cell Growth and Death	-Other Enzymes	0.02412	0.03022	0.03359	0.03519	0.0416	0.04566	0.03672	0.04557	0.05103	0.04018	0.04947	0.05492	0.04462	0.05298	0.05893
-Cellular Community	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Other Enzymes	4.643	5.306	5.829	5.841	6.347	6.634	6.03	6.583	6.942	6.341	6.892	7.264	6.069	6.379	6.824
-Membrane Transport	-Other Enzymes	0.7865	0.9496	1.125	1.003	1.045	1.181	0.9961	1.067	1.16	0.9549	1.005	1.091	0.7974	0.8485	0.8886
-Central Carbon Metabolism	-Other Enzymes	1.372	1.697	1.93	1.773	1.964	2.177	1.721	1.878	2.188	1.678	1.823	2.116	1.538	1.622	1.833
-Energy Metabolism	-Other Enzymes	0.1723	0.235	0.3102	0.2593	0.3369	0.471	0.272	0.3632	0.5083	0.268	0.3518	0.5039	0.2505	0.3137	0.4266
-Biosynthesis	-Other Enzymes	1.184	1.398	1.628	1.691	1.911	2.024	1.897	2.156	2.299	2.291	2.533	2.742	2.367	2.556	2.76
-Other Enzymes	-Other Enzymes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Organismal Systems	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Other Enzymes	0.0006378	0.003645	0.03624	0.0007021	0.004606	0.0494	0.000646	0.005176	0.06007	0.0006082	0.005006	0.05979	0.0006352	0.005137	0.06145
-Cancers	-Other Enzymes	0	0.0007929	0.0009718	0	0.0006964	0.0007823	0	0.0006414	0.0007367	0	0.0006039	0.000696	0	0.0006312	0.0007218
-Immune Diseases	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Other Enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Other Enzymes	3.749e-06	0.001823	0.00264	3.765e-06	0.001779	0.002733	3.054e-06	0.002452	0.003313	2.876e-06	0.002171	0.003086	2.63e-06	0.002352	0.003448
-Drug resistance	-Other Enzymes	1.875e-06	0.0009199	0.03469	1.882e-06	0.001209	0.04762	1.527e-06	0.001297	0.05943	1.438e-06	0.00139	0.05912	1.315e-06	0.001023	0.06071
Not Mapped	-Other Enzymes	0.7849	0.9051	0.9877	0.8159	0.8886	0.9347	0.7961	0.8716	0.9331	0.7881	0.8578	0.9152	0.7849	0.826	0.8975
-Not Mapped	-Other Enzymes	0.7849	0.9051	0.9877	0.8159	0.8886	0.9347	0.7961	0.8716	0.9331	0.7881	0.8578	0.9152	0.7849	0.826	0.8975
TOTAL	Organismal Systems	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	Organismal Systems	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	Organismal Systems	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	Organismal Systems	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
