K07541	PigX:Q8TBF5
K13755	Pde1c:E9PE92
K16144	AFP, FETA, HPAFP:Q5JSK6
K01867	WarS2:Q9UGM6
K00864	Gk:A6NJP5
K07899	Rab9a:P51151
K01402	Mmp8:P22894
K10686	Uba3:Q8TBC4
K09230	ZscAn18:Q8TBC5
K01011	MpsT:P25325
K08327	Pdc:P20941
K01016	SulT1e1:P49888
K12967	Il33:O95760
K04247	FshR:P23945
K06841	SemA5a:Q13591
K09308	HoxD8:P13378
K09049	Atf6b:Q6AZW6
K12897	Tra2a:Q13595
K15728	LPIN3, LIPN3L, SMP2, dJ450M14.2, dJ450M14.3, dJ620E11.2:Q9Y2P8
K00693	Gys1:P13807
K10372	TnnT1:P13805
K14403	CPSF3, CPSF-73, CPSF73:B4DGQ0
K10863	AptX:Q5T782
K04939	KcnMb3:E9PER5
K14721	POLR3E:Q6ZVM7
K03456	Ppp2r1b:B4DGQ6
K02895	MRPL24, L24mt, MRP-L18, MRP-L24:C9J924
K04714	SgmS2:Q8NHU3
K05440	IfnW1:P05000
K04869	CacNg4:Q9UBN1
K11407	HdaC6:Q9UBN7
K04722	TnfRsf10d:Q9UBN6
K04967	TrpC4:Q9UBN4
K13699	AbhD5:Q8WTS1
K12460	KidIns220:Q7Z322
K06766	Neo1:B7ZKN0
K15009	SHANK1, SPANK-1, SSTRIP, synamon:Q53F39-4
K06512	LilRb1:A2IXV4
K09228	Znf577:Q9BSK1
K06473	Cd33:F8WAL2
K04822	Htr3d:F6WC43
K11317	TadA1:Q96BN2
K10844	ErcC2:P18074
K06130	LypLa2:O95372
K07530	RhoD:O00212
K04529	ApbB1:O00213
K11435	PrmT2:P55345
K07604	Krt15:B3KVF5
K05137	Il20rb:Q6UXL0
K03941	NduFs8:O00217
K06832	LgaLs8:O00214
K07604	Krt27:Q7Z3Y8
K06256	Cd44:O95370
K07609	Nes:P48681
K06662	Rad17:O75943
K07178	RioK1:Q9H2L9
K04814	ChrNb3:Q05901
K14966	HCFC2:Q2MV58-2
K07604	Krt28:Q7Z3Y7
K09393	TfdP3:Q5H9I0
K05168	Il17re:B4DMZ3
K14609	SLC19A1:Q9NQ48
K02138	Atp5h:O75947
K12668	Dad1:Q53G02
K14284	Nxf1:Q9UBU9
K01506	Nit1:B1AQP4
K08337	Atg7:O95352
K01301	FolH1:Q04609
K14282	TacC2:O95359
K10357	Myo5a:A8CDT9
K13172	SrrM2:Q9UQ35
K12261	HacL1:Q9UJ83
K05748	WasF2:Q9Y6W5
K12160	SumO4:Q6EEV6
K11999	TriM6:B4DDQ5
K11447	Uty:Q86UB8
K02939	MRPL9, L9mt:B7Z227
K03354	AnaPc7:Q4KMX6
K10290	FbxO3:Q49AF1
K00759	AprT:P07741
K11982	Rnf126:Q9BV68
K08212	Slc22a16:Q86VW1
K09350	Nkx6-2:Q9C056
K14406	CSTF1:Q9NXU5
K05406	Il12a:P29459
K01104	Ptp4a2:Q12974
K13216	Ppp1r8:Q12972
K05111	EphB2:P29323
K05104	EphA3:P29320
K08106	ChsT15:B4DH74
K08135	Col15a1:P39059
K01530	Atp10d:Q9P241
K00623	ChaT:P28329
K11225	StaT6:B7ZA27
K09404	FoxK2:Q01167
K00700	Gbe1:Q04446
K13901	Cst5:P28325
K04376	Elk4:P28324
K02273	Cox8a:Q53XN1
K00599	LcmT1:Q9UIC8
K03537	Pop5:Q969H6
K01396	Mmp10:P09238
K10260	FbxW7:Q969H0
K01397	Mmp7:P09237
K11095	SnrPc:P09234
K10465	KlhL29:Q96CT2
K03362	BtrC:Q5W141
K07375	TubB4:P04350
K01368	CtsS:P25774
K08047	AdcY7:P51828
K09498	Cct6b:B4DYB0
K06548	SigLec1:Q9BZZ2
K06619	Abl1:P00519
K04187	CcbP2:O00590
K04250	Rho:P08100
K07754	Dio3:Q86TU3
K06585	ItgA9:Q13797
K14570	B4DJD8:B4DJD8
hsa_Q53H79	Q53H79:Q53H79
K07605	Krt7:P08729
K00029	Me3:B2R995
K05660	AbcB5:B5MD19
K02370	ExtL3:O43909
K06541	KlrC4:O43908
K10798	ParP3:Q9Y6F1
K07604	Krt19:P08727
K12337	MrvI1:Q9Y6F6
K15485	BCL2L13, BCL-RAMBO, Bcl2-L-13, MIL1:Q8TAC2
hsa_Q9GZN1	ARP6:Q9GZN1
K08422	Gpr88:Q9GZN0
K06752	Hla-dqa1:Q8MH44
K06542	Cd160:O95971
K09626	PrsS22:Q9GZN4
K05049	Slc6a16:Q9GZN6
K16682	AJUBA, JUB:Q96FX2-1
K00432	GPX8, EPLA847, GPx-8, GSHPx-8, UNQ847:C8CH77
K05142	TnfRsf4:P43489
K09518	DnaJb12:Q9NXW2
K09294	HoxB9:B3KPJ1
K10407	Klc1:Q07866
K04452	DdiT3:P35638
K02324	PolE:Q07864
K00540	SqrDl:Q9Y6N5
K04172	Fpr1:P21462
K05168	Il17re:Q8NFR9
K09228	Znf343:Q6P1L6
K16865	PDCD4, H731:Q8NFR3
K13098	Fus:P35637
K07294	PpaRa:Q07869
K06486	IcaM3:P32942
K08406	Gpr31:Q4VBL3
K04177	Ccr2:Q4VBL2
K06688	Ube2c:A6NP33
K02187	CasP3:P42574
K02186	CasP2:P42575
K05948	LfnG:B5MCR5
K05357	VkoRc1:A6NIQ6
K06712	Btn3a2:F8W6E0
K00772	MtaP:Q13126
K09222	ResT:Q13127
K12399	Ap3S1:Q92572
K08559	Nr4A3:Q92570
K01312	PrsS3:Q7Z5F4
K10423	CliP4:Q8N3C7
K07206	Tsc1:Q92574
K02131	Atp5j:Q6NZ59
K07364	Tec:P42680
K08016	Txk:P42681
K14165	Epm2a:Q6IS15
K08887	Abl2:P42684
K08892	Frk:P42685
K09605	RnpEpl1:Q9HAU8
K06236	Col3a1:P02461
K05658	AbcB1:P08183
K09103	Ebf3:Q9H4W6
K13957	KlhL33:A6NCF5
K11289	TspYl6:Q8N831
K02154	Atp6v0a4:Q32M47
K07839	Rap2c:Q9Y3L5
K10356	Myo1b:O43795
K12321	GucY2d:Q02846
K08273	Sh2D2a:Q5VZS4
K01437	Acy3:Q96HD9
K05256	Crh:P06850
K05691	CtnNa2:P26232
K06054	Hes1:Q14469
K04883	KcnAb2:B2R776
K04459	DusP8:Q13202
K12357	Neu2:Q9Y3R4
K03028	PsmD2:Q13200
K10176	Tbx2:Q13207
K05199	GriA3:Q17R51
K04257	Or51b2:Q17R53
K06712	Btn3a2:B4DRT7
K03068	Lrp5:O75197
K04348	Ppp3cc:B4DRT5
K00854	XylB:O75191
K09512	DnaJb6:O75190
K06811	Cdh17:B2R778
K13351	Pex11a:O75192
K04504	PpaRd:E9PE18
K07834	RalA:P11233
K05222	TrpV1:Q8NER1
K04812	ChrNb1:P11230
K13568	AcvR1c:Q8NER5
K07835	RalB:P11234
K04257	Or8H2:Q8N162
K05292	PigT:Q969N2
K04391	Cd14:P08571
K05017	ClcNka:P51800
K05666	AbcC2:Q92887
K04441	MapK11:Q15759
K05616	Slc1a5:Q15758
K01530	Atp8b2:Q6P3T1
K06621	CdkN2a:A5X2G7
K10594	HerC1:Q15751
K04403	Tab1:Q15750
K03172	TraF1:Q13077
hsa_Q562R3	Q562R3:Q562R3
K04958	ItpR1:B4DER3
K11293	HirA:P54198
K09045	Atf7:B2RMP1
K09182	GatA3:P23771
K11974	Rnf31:A0A962
K09229	Znf445:P59923
K01883	CarS:B4DPV7
K06824	NpnT:E9PCK8
K10848	ErcC4:Q92889
K10684	Sae1:F5GXX7
K12550	Lpo:A5JUY4
K03575	MutYh:E5KP27
K07414	Cyp2d6:Q5Y7H2
K12593	MphOsph6:Q99547
K03575	MutYh:E5KP26
K04880	KcnA7:Q96RP8
K02355	Gfm1:Q96RP9
K06712	Btn2a1:Q59EN4
K06689	Ube2d2:Q96RP6
K09677	Gal3st4:Q96RP7
K05655	AbcB8:Q9NUT2
K00710	GalNtl2:Q8N3T1
K05128	Ryk:Q59FQ5
K09098	NpaS3:Q8IXF0
K12350	SmpD1:Q59EN6
K15306	RANBP1, HTF9A:B4DV38
K09871	Aqp12a:Q8IXF9
K03898	Kng1:P01042
K14962	WDR82:O95248
K00167	BckDhb:P21953
K04833	Scn1a:Q8IUJ6
K13190	Rbm15b:Q8NDT2
K06521	SemA4a:Q5TCJ6
K10859	AlkBh2:A4PET2
K13951	Adh1a:P07327
K14721	POLR3E, RPC5, SIN:A4D1W4
K12319	GucY1b3:Q02153
K11129	Nhp2:Q9NX24
K06068	PrkCe:Q02156
K13207	CelF3:Q5SZQ8
K11885	Ddi1:Q8WTU0
K12042	TnnC2:Q6FH92
K05865	TnnC1:Q6FH91
K10995	Rad9b:Q6WBX8
K13207	CelF3:Q5SZQ7
K08009	CybA:P13498
K00944	Ak3:Q7Z4Y4
K02369	ExtL2:Q49A43
K03860	PigQ:Q9BRB3
K11661	SrcAp:Q6ZRS2
K03985	PlaUr:Q03405
K01436	Acy1:Q03154
K01276	Dpp7:Q9UHL4
K04866	CacNg1:Q06432
K00742	GcnT2:Q06430
K12589	ExoSc7:B2RDZ9
K06635	PttG2:Q9NZH5
K05485	Il1F7:Q9NZH6
K05486	Il1F8:Q9NZH7
K04619	GprC5b:Q9NZH0
K07928	Rab40c:Q96S21
K04249	TshR:P16473
K08869	AdcK3:Q8NI60
K04453	Max:Q14803
K05487	Il1F9:Q9NZH8
K10403	Kif22:Q14807
K00825	AadAt:Q8N5Z0
K09229	Znf213:O14771
K00976	FpgT:O14772
K09355	Pbx1:A8K5V0
K05132	IfnGr1:P15260
K04539	Gnb5:O14775
K12824	TceRg1:O14776
K11547	Ndc80:O14777
K11842	Usp46:P62068
K15293	UNC13C:Q86V87
K09228	Znf229:Q9UJW7
K10426	DctN4:Q9UJW0
K08053	RasA2:Q15283
K00558	DnmT3l:Q9UJW3
K00025	Mdh1:F5H098
K08136	SpoCk3:F5H099
K09228	Znf180:Q9UJW8
K02898	Rpl26l1:Q9UNX3
K08370	CYBRD1:Q8WUM9
K00286	PycR1:Q9HBQ4
K02130	Atp5j2:P56134
K15307	GPS2:Q6P4A7
K04617	Gpr156:E9PFZ4
K14521	NAT10:O15172
K06072	DohH:Q9BU89
K03857	PigA:P37287
K01360	PcsK2:P16519
K09228	Znf674:E9PHQ4
K10645	Mib2:E9PHQ1
K05310	PigG:Q8NCI4
K04302	Gpr85:A4D0T8
K06776	PtpRk:B4DHC3
K08871	Brd2:Q658Y7
K07980	Kir3dl2:Q95366
K08956	Afg3l2:Q8TA92
K15414	C1QBP:Q9H993
K14320	AaaS:Q9NRG9
K01292	Cpn1:P15169
K14376	PAPOLG:Q3B726
K09037	MafK:A4D214
K00286	PycR2:Q96C36
K15129	MED8:Q9UGP4
K04630	GnaI2:B3KX51
K01948	Cps1:B7ZAW0
K03512	PolL:Q9UGP5
K04674	TgfBr1:Q5T7S2
K12567	Ttn:E7EQE6
K04865	CacNb4:B4DG40
K04625	Tas1r2:Q8TE23
K00129	AldH3b1:A3FMP9
K01112	MtmR2:Q13614
K08649	GzmM:P51124
K07374	TubA1a:Q71U36
K01360	PcsK2:Q5JYQ1
K04257	Or2A4:O95047
K14571	NVL:Q75KX8
K12865	PqbP1:O60828
K00294	AldH4a1:P30038
K13299	GstK1:Q9Y2Q3
K00900	PfkFb2:O60825
K09228	Znf257:Q9Y2Q1
K11449	JmjD1c:A0T124
K06465	Cd19:F5H635
K11801	DcaF11:Q59GN6
K05849	Slc8a1:Q59GN4
K01528	Dnm1l:Q59GN9
K09403	FoxJ2:Q9P0K8
K01539	Atp1a3:P13637
K08529	RarG:P13631
K11642	Chd3:E9PG89
K14157	AasS:A4D0W4
K12186	Fam125a:Q96EY5
K11253	H3f3c:Q6NXT2
K12627	Naa38:A4D0W0
K08765	Cpt1c:Q8TCG5
K11583	Ppp2r3a:B4DNU1
K13990	FtcD:O95954
K09228	Znf641:B4DNU5
K07907	Rab12:Q6IQ22
K10460	KlhL23:Q8NBE8
K13985	NapEpld:Q6IQ20
K06674	Smc2:Q6IPS5
K06104	AmoTl1:Q8IY63
K09503	DnaJa2:O60884
K06712	Btn3a2:P78410
K04257	Or51a2:Q8NGJ7
K13187	Rbm4:B4E1U0
K06821	PlxNb3:A8K920
K10501	ZbtB20:A8K251
K00993	Ept1:Q9C0D9
K04257	Or51l1:Q8NGJ5
K09501	SerPinh1:A8K259
K09228	Znf772:A6NJK9
K04143	AdrB3:A8KAG8
K02599	NotCh3:Q9UM47
K15985	PKIA:Q6PJ73
K08208	Slc22a12:Q96S37
K01027	OxcT1:P55809
K10614	HerC3:Q15034
K00506	TyrP1:P17643
K01869	LarS2:Q15031
K05226	Cck:Q6FG82
K10474	KbtBd6:Q86V97
K08881	TriM24:O15164
K00637	SoaT1:P35610
K04838	Scn5a:Q86V90
K03113	Eif1b:Q6FG85
K02157	AxiN1:O15169
K09228	Znf440:Q8IYI8
K08631	AdaMts17:Q8TE56
K09866	Aqp4:F1DSG4
K05087	Igf1r:P08069
K04257	Or8D4:Q8NGM9
K04257	Or6M1:Q8NGM8
K00911	ITPKC, IP3-3KC, IP3KC:Q15526-2
K08833	Map4k5:Q9Y4K4
K00901	DgkE:A1L4Q0
K03175	TraF6:Q9Y4K3
K00280	LoxL2:Q9Y4K0
K08629	AdaMts15:Q8TE58
K11878	PsmG4:Q5JS54
K05694	PtpRb:B7ZKS8
K11649	SmaRcc2:F8VTJ5
K08414	Gpr61:Q9BZJ8
K09679	Hs3St6:C9JH64
K09870	Aqp11:Q8NBQ7
K06722	Cd302:B4E2T9
K04364	Grb2:P62993
K12897	Tra2b:P62995
K05860	PlcE1:Q9P212
K08784	HtrA1:Q92743
K10331	Asb9:Q9BVF5
K05757	ArpC1a:Q92747
K02147	Atp6v1b2:P21281
K04976	TrpM1:Q6PE48
K13240	Nos1:B3VK56
K14285	Nxt2:Q9NPJ8
K12005	TriM15:Q5SRL0
K01254	Lta4h:P09960
K01104	PtpN18:Q99952
K09492	MkkS:Q9NPJ1
K12642	Pkp2:Q99959
K09396	FoxC2:Q99958
K08772	Slc27a3:Q5K4L6
K05153	TnfRsf17:Q02223
K04843	Scn11a:Q9UI33
K01425	Gls2:Q9UI32
K04714	SgmS1:D3DWC4
K06796	Cdh3:P22223
K12754	Myl7:Q01449
K13513	LclAt1:Q6UWP7
K00237	SdhD:O14521
K11800	DcaF5:Q96JK2
K06061	MamL3:Q96JK9
K05043	SlcO1b1:Q05CV5
K09203	Egr1:P18146
K04257	Or12d3:Q9UGF7
K08401	Gpr81:Q9BXC0
K00501	Th:P78428
K14137	PtaR1:Q7Z6K3
K14549	UTP15:Q7Z6K1
K10652	TriM25:Q14258
K14312	Nup155:O75694
K11251	H2aFb1:P0C5Y9
K07192	FloT2:Q14254
K10696	Rnf20:Q5VTR2
K06087	CldN2:B2R6B9
K05745	DiaPh3:Q9NSV4
K08615	AdaM30:Q8TBZ7
K00274	MaoB:P27338
K03158	TnfRsf1a:P19438
K09228	Znf45:Q02386
K09637	TmpRss6:Q8IU80
K12362	RasGrp3:Q53SD7
K04698	SocS5:Q53SD4
K04313	Gpr6:F1DAM6
K06777	PtpRd:Q59H90
K04958	ItpR1:Q59H91
K04900	KcnG1:Q9UIX4
K04437	FlnC:Q59H94
K06496	SelP:Q6NUL9
K10498	ZbtB11:Q59H97
K09409	FoxP2:B7ZLK5
K12401	Ap4B1:Q9Y6B7
K06645	Cdc25a:P30304
K09228	Znf57:A5HJR3
K05866	Cdc25b:P30305
K04863	CacNb2:Q5VVH1
K11451	Cbx2:Q14781
K09647	ImmP1l:Q96LU5
K05070	Il2Rg:P31785
K04213	OprD1:P41143
K10395	Kif4b:Q2VIQ3
K09260	Mef2a:B4DFQ7
K10049	CebPg:P53567
K10897	PalB2:Q86YC2
K10600	UboX5:O94941
K11468	Yaf2:Q8IY57
K00710	GalNt5:Q7Z7M9
K13983	Mov10l1:B7Z7R1
K11297	HmgB4:B2R4X7
K05733	Pak3:B2RCU6
K09168	NfiA:B4DS53
K16333	CRTC2:O43374
K01064	Wnt9b:O14905
K01064	Wnt9a:O14904
K05152	TnfRsf14:Q92956
K09209	Klf11:O14901
K02884	MRPL19, L19mt, MRP-L15, MRP-L19, MRPL15, RLX1, RPML15:C7FDW1
K06471	PecAm1:P16284
K13649	FolR3:P41439
K12233	HecTd3:Q5T447
K05053	NmuR2:Q9GZQ4
K06240	LamA3:Q16787
K10435	Map1lc3b:Q9GZQ8
K06751	Hla-a:Q5SUL5
K08753	FabP4:P15090
K01436	Acy1:C9JWD4
K14575	SPATA5, AFG2, SPAF:O43521-4
K10395	Kif21b:O75037
K09037	MafF:Q9ULX9
K10573	Ube2a:P49459
K09455	MitF:O75030
K11883	Nob1:Q9ULX3
K11495	CenPa:P49450
K01672	Ca14:Q9ULX7
K11499	CenPf:P49454
K13813	Stx12:Q86Y82
K05447	Il28b:Q8IZI9
K06751	Hla-b:E5FQ95
K06670	Rad21:O60216
K04900	KcnG1:Q86Y85
K00100	Akr1b10:O60218
K01120	Pde2a:Q5J793
K06568	Muc1:Q0VAP6
K06568	Muc1:Q0VAP5
K05863	Slc25a5:Q6NVC0
K00849	GalK2:Q7Z4Q4
K04219	SstR3:P32745
K01077	AlpPl2:P10696
K02974	Rps24:E7EPK6
K12366	ElmO1:Q92556
K08403	Gpr15:B6V9G9
K04644	CltA:F5H6N3
K04257	Or6C70:A6NIJ9
K14405	FIP1L1:Q70E73
K12409	Gne:F5H499
K02604	Orc2:Q13416
K02603	Orc1:Q13415
K04983	TrpM8:Q7Z2W7
K06712	Btn1a1:Q13410
K00451	Hgd:Q93099
K04382	Ppp2ca:B3KUN1
K04151	Hrh3:Q9Y5N1
K01251	AhcY:B3KUN3
K02857	RhbDl2:B3KUN4
K06272	Ilk:Q13418
K01203	Si:P14410
K05269	PrlH:Q53QV7
K13421	UmpS:P11172
K09228	Znf556:Q9HAH1
K01540	Atp1b2:P14415
K09228	Znf705d:P0CH99
K00162	PdhB:P11177
K04542	Gng5:P63218
K05640	GfaP:A7REI1
K05717	Fn1:E9PG29
K06453	Cd247:P20963
K03115	CsnK2b:P67870
K00739	B3gNt6:A8K9Q8
K03246	Eif3i:Q13347
K08272	Cab39l:Q9H9S4
K09256	NfkBil1:Q5STV6
K09256	NfkBil1:Q5STV4
K05468	Lta:Q5STV3
K11435	PrmT2:Q99781
K04662	Bmp4:P12644
K11225	StaT6:P42226
K00600	ShmT2:B7Z9F1
K14165	DupD1:Q68J44
K08025	Mnx1:F5H401
K09063	Tcf4:B3KT62
K12307	MfsD8:Q8NHS3
K09514	DnaJb8:Q8NHS0
K06778	PtpRs:Q8NHS7
K06756	NrcAm:B7Z670
K10461	KlhL24:Q6TFL4
K05767	IqgAp2:Q13576
K12387	LapTm5:Q13571
K06537	Cd151:Q6ZNZ0
K06063	Snw1:Q13573
K00913	ItpK1:Q13572
K04588	SctR:P47872
K05182	GabRb2:P47870
K04583	GcgR:P47871
K12498	Egr4:B2RAE3
K04681	Rbl2:Q8NE70
K09228	Znf416:Q9BWM5
K04237	ParD3:F5H5T0
K08869	AdcK5:Q3MIX3
K05238	CorT:O00230
K03036	PsmD11:O00231
K03035	PsmD12:O00232
K09532	DnaJc12:Q9UKB3
K01539	Atp1a1:P05023
K01840	Pmm1:A8K003
K13578	BmpR1b:O00238
K12741	HnrNpa1l2:Q32P51
K04257	Or4L1:Q8NH43
K10483	BtbD11:B3KVD0
K06752	Hla-drb1:P01912
K06752	Hla-drb1:P01911
K10491	ZbtB4:B3KVD4
K04257	Or10g4:Q8NGN3
K11108	RCL1:P55327
K09228	Znf33a:F8WAJ5
K11415	SirT5:B4DFM4
K07605	Krt6c:P48668
K10951	Slc12a2:Q53ZR1
K05181	GabRb1:P18505
K11999	TriM34:Q9BYJ4
K13736	ArhGap10:A1A4S6
K12852	EftUd2:B4DK30
K03952	NduFa8:B1AM93
K08418	Gpr78:B2R7M4
K00012	UgdH:B4DN25
K06787	EsaM:Q96AP7
K07430	Cyp7b1:Q05C57
K00234	SdhA:P31040
K13855	Slc4a2:Q59GF1
K00485	Fmo4:P31512
K00485	Fmo3:P31513
K12170	Rnf125:Q96EQ8
K10894	FanCg:O15287
K02130	Atp5j2:Q6IBB3
K05691	CtnNa2:Q49AD3
K08857	Nek4:B7Z200
K00558	DnmT3b:B4DSM8
K08788	DmpK:E5KR07
K00738	MgaT4b:Q9UQ53
K08888	MatK:B3KNZ9
K04257	Or5M11:Q96RB7
K11969	AriH2:O95376
K03945	NduFa1:Q6IBB5
K08512	VamP8:Q9BV40
K08450	Gpr56:Q9Y653
K05025	CliC5:Q53G01
K05634	PrnP:P04156
K06838	SliT1:Q5T0V1
K10658	MarCh3:Q86UD3
K12076	Dlg1:Q12959
K07604	Krt23:Q9C075
K06824	NpnT:B4E3H2
K10350	Zyg11a:Q6WRX3
K09397	FoxD4:Q12950
K09401	FoxI1:Q12951
K09405	FoxL1:Q12952
K10380	Ank3:Q12955
K02975	Rps25:P62851
K09228	Znf230:Q9UIE0
K02880	Rpl17:P18621
K08788	DmpK:E5KR08
K06565	Lag3:P18627
K05171	Il1Rl1:Q01638
K02979	Rps28:P62857
K08869	AdcK1:Q9UIE6
K04345	PrkAcb:B7ZA00
K08769	Ucp1:P25874
K09228	Znf568:Q3ZCX4
K12654	TmeM173:Q86WV6
K06820	PlxNa3:P51805
K01456	NglY1:Q96IV0
K09081	NeuRog1:Q92886
K05018	ClcNkb:P51801
K10849	ErcC1:B2RC01
K00799	GstA2:P09210
K00799	GstP1:P09211
K12330	ArhGef1:Q92888
K00485	Fmo5:C9JJD1
K10420	DynLt3:P51808
K08515	VamP7:P51809
K03575	MutYh:E5KP25
K00876	Uck2:Q9BZX2
K02731	PsmA8:Q8TAA3
K04257	Or4K15:Q8NH41
K11266	Mau2:Q9Y6X3
K04706	PiaS3:Q9Y6X2
K04257	Or6S1:Q8NH40
K04510	VanGl1:Q8TAA9
K05852	Pln:Q5R352
K04893	KcnD3:Q14D71
K06503	TfrC:A8K6Q8
K10496	ZbtB9:A2AB19
K13132	GemIn4:P57678
K13625	Ftl:P02792
K00522	Fth1:P02794
K04733	IraK4:B4E359
K04441	MapK12:P53778
K04440	MapK10:P53779
K06260	Gp5:D1MER9
K04359	PdgFa:P04085
K05730	Vav3:Q9UKW4
K10866	Rad50:A5D6Y3
K09429	Elf5:Q9UKW6
K06027	Nsf:P46459
K10809	Tg:P01266
K06535	Bsg:P35613
K06002	Pga4:P00790
K05332	Slc6a17:Q9H1V8
K01380	Ren:P00797
K01835	Pgm1:B4DPV0
K09228	Znf554:Q86TJ5
K12305	EntPd4:Q9Y227
K04135	AdrA1a:P35348
K03108	Srp72:O76094
K13167	SfrS15:C9JLZ0
K04358	Fgf18:O76093
K04301	Gpr27:F1DAM3
K01102	Pdp1:Q6P1N1
K02519	MtiF2:Q6P1N2
K04257	Or7C1:O76099
K11413	SirT3:B7Z5U6
K04311	Gpr3:F1DAM5
K06574	DarC:Q4VBN9
K14840	GLTSCR2, PICT-1, PICT1:C9JZQ2
K02940	Rpl9:P32969
K13377	TgfB3:A5YM40
K00277	Lox:P28300
K11204	GclC:E1CEI4
K12568	MybPc3:A5YM48
K01752	Sds:Q8WW81
K12311	Man2b1:O00754
K07756	Ip6K1:Q92551
K07896	Rab41:Q5JT25
hsa_B4DHK9	B4DHK9:B4DHK9
K05753	WasF1:Q92558
K05697	PtpN6:Q53XS4
K06275	ParVg:Q9HBI0
K11580	SgoL1:B5BUA4
K10350	Zyg11b:B4DK95
K10734	GinS3:E9PB21
K01436	Acy1:C9J9D8
K00129	AldH3a1:P30838
K13180	Ddx26b:Q5JSJ4
K00699	Ugt1a10:Q9HAW8
K00699	Ugt1a8:Q9HAW9
K10881	ShfM1:Q6IBB7
K02437	GCSH:Q9HAW4
K00699	Ugt1a7:Q9HAW7
K00128	AldH1b1:P30837
K09406	FoxM1:Q53Y49
K00799	GstM2:P28161
K08868	AlpK1:Q96QP1
K01593	Ddc:Q53Y41
K04257	Or4X1:Q8NH49
K05759	Pfn1:Q53Y44
K04459	DusP7:Q16829
K11449	Kdm3b:Q7LBC6
K03858	PigH:Q14442
K09201	Yy1:P25490
K13504	VamP2:P63027
K09487	Hsp90b1:P14625
K07779	ChsT13:Q8NET6
K01512	AcyP2:P14621
K04972	TrpV3:Q8NET8
K05039	Slc6a6:Q9BRI2
K06532	ProM2:B2R879
K10380	Ank3:E9PE32
K10315	FbxO40:Q9UH90
K09113	Mlx:Q9UH92
K07981	Kir2dl5a:Q8N109
K09083	AtoH7:Q8N100
K12405	Hsd17b4:B4DVS5
K01897	AcsL3:O95573
K04548	GngT1:P63211
K06514	Thy1:P04216
K12019	TriM43:Q96BQ3
K12200	PdcD6ip:Q8WUM4
K13132	GemIn4:Q8WUM5
K10390	TubD1:B4DPT8
K14300	Nup133:Q8WUM0
K06278	Cav1:Q2TNI1
K14318	Nup88:Q99567
K01078	Acp2:E9PCI1
K05357	VkoRc1:Q9BQB6
K04140	AdrA2c:Q4W594
K09408	FoxO3:O43524
K10638	UhrF1:A0JBR2
K10127	Mdm4:Q59FS6
K07410	Cyp1b1:Q16678
K02176	SfrP2:Q96HF1
K14559	MPHOSPH10, CT90, MPP10, MPP10P:O60271-4
K04630	GnaI3:P08754
K06738	SigLec6:F8WA78
K00027	Me2:B2R8J2
K07425	Cyp4a22:Q5TCH4
K05166	Il17rc:A8BWC9
K11125	Smg5:Q9UPR3
K07968	B4gAlt3:A8K5Z0
K07440	Cyp46a1:Q9Y6A2
K05166	Il17rc:A8BWC1
K00069	HpgD:B4DV57
K06238	Col6a3:E9PFQ6
K11687	AdpRhl2:Q9NX46
K10660	MarCh5:Q9NX47
K12408	Hsd3b7:Q96M28
K03768	PpiB:P23284
K09063	Tcf4:G0LNT9
K09250	CnbP:A8K7V4
K10063	AsgR1:P07306
K04453	Max:A6NH73
K14407	CSTF2T:Q96JP5-1
K15615	SIX4, AREC3:Q8IVQ6
K04815	ChrNb4:P30926
K06459	Cd8B:P10966
K11657	Rsf1:Q05DG0
K07965	HpsE2:Q2M1H9
K10380	Ank1:E5RFL7
K05116	TyrO3:Q06418
K09368	Pou6f1:Q14863
K05413	Cd86:B7Z2F3
K12605	CnoT2:B2RDX7
K10147	Ppm1d:Q6P991
K04380	MapT:P10636
K04454	Mef2c:Q06413
K07413	Cyp2c8:P10632
K08857	Nek6:Q9HC98
K11578	Zw10:A1A528
K09282	HmgA1:Q5T6U8
K08718	Pde6a:P16499
K04586	Pth2r:P49190
K12559	Myo10:Q9HD67
K08579	CapN10:Q9HC96
K04276	Gpr35:Q9HC97
K07605	Krt72:Q14CN4
K05244	Gal:P22466
K00382	Dld:P09622
K12019	TriM49:P0CI25
K05030	ClcA4:Q14CN2
K10659	MarCh11:A6NNE9
hsa_P29401-2	Tkt:P29401-2
K04813	ChrNb2:Q5SXY3
K02993	Rps7:P62081
K02603	Orc1:Q96F82
K09373	Lhx2:P50458
K12615	Edc3:Q96F86
K17457	PPP1R12C, LENG3, MBS85, p84, p85:A6NDZ2
K01164	Pop1:Q96F88
K02270	Cox7a2l:Q6FGA0
K12404	Gga1:Q9UJY5
K12758	MylPf:Q96A32
K02866	Rpl10l:Q96L21
K08879	HspB8:Q9UJY1
K10442	KlhL1:Q9NR64
K08858	Sbk1:Q52WX2
K14315	TmeM48:B4DHA3
K12664	Cyp26b1:Q9NR63
K13510	LpcAt1:Q8NF37
K08271	StrAda:B4DDE3
K03662	Atp6ap1:Q9H0C7
K00781	St3Gal3:Q5T4W8
K13514	LpgAt1:Q53YL2
K08541	Nr1I3:Q6GZ83
K08619	AdaMts3:Q96AY5
K07752	Cpd:B7ZAU4
K10179	Tbx5:Q96TB0
K07377	NrxN2:Q9P2S2
K07375	TubB:Q5SU16
